departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
san luis del palmar,18,corrientes,2023,21,dengue,7,de 20 a 24 anos,1,san luis del palmar,corrientes,11391,18140,20435
monteros,90,tucuman,2023,21,dengue,10,de 45 a 65 anos,1,monteros,tucuman,11392,90070,78188
pergamino,6,buenos aires,2023,21,dengue,11,mayores de 65 anos,1,pergamino,buenos aires,11393,6623,111266
tafi del valle,90,tucuman,2023,21,dengue,9,de 35 a 44 anos,1,tafi del valle,tucuman,11394,90098,18114
tafi viejo,90,tucuman,2023,21,dengue,5,de 10 a 14 anos,6,tafi viejo,tucuman,11395,90105,157352
cordoba capital,14,cordoba,2023,21,dengue,6,de 15 a 19 anos,5,cordoba capital,cordoba,11396,14014,1474541
corrientes capital,18,corrientes,2023,21,dengue,11,mayores de 65 anos,17,corrientes capital,corrientes,11397,18021,422722
rivadavia,66,mendoza,2023,21,dengue,6,de 15 a 19 anos,2,rivadavia,salta,11398,50084,65149
salta capital,66,salta,2023,21,dengue,9,de 35 a 44 anos,14,salta capital,salta,11399,66028,654756
comuna 14,2,ciudad de buenos aires,2023,21,dengue,8,de 25 a 34 anos,1,comuna 14,ciudad de buenos aires,11400,2014,227268
rosario,82,santa fe,2023,21,dengue,10,de 45 a 65 anos,7,rosario,santa fe,11401,82084,1310461
chacabuco,22,buenos aires,2023,21,dengue,9,de 35 a 44 anos,2,chacabuco,chaco,11402,6210,53620
25 de mayo,22,misiones,2023,21,dengue,7,de 20 a 24 anos,1,25 de mayo,chaco,11403,54119,29131
metan,66,salta,2023,21,dengue,11,mayores de 65 anos,2,metan,salta,11404,66112,44405
mayor luis j fontana,22,chaco,2023,21,dengue,8,de 25 a 34 anos,6,mayor luis j fontana,chaco,11405,22098,61036
lomas de zamora,6,buenos aires,2023,21,dengue,10,de 45 a 65 anos,2,lomas de zamora,buenos aires,11406,6490,655122
chicligasta,90,tucuman,2023,21,dengue,7,de 20 a 24 anos,1,chicligasta,tucuman,11407,90021,97745
9 de julio,22,santa fe,2023,21,dengue,5,de 10 a 14 anos,2,9 de julio,chaco,11408,82077,34502
salta capital,66,salta,2023,21,dengue,7,de 20 a 24 anos,3,salta capital,salta,11409,66028,654756
cruz alta,90,tucuman,2023,21,dengue,11,mayores de 65 anos,8,cruz alta,tucuman,11410,90014,229688
